,Unnamed: 0.1,Unnamed: 0,DEF_TEAM,OPP_CODE,YEAR,WEEK,SCORE_OPP,PASSING_CMP,PASSING_ATT,PASSING_YDS,PASSING_TD,PASSING_INT,PASSING_SK,PASSING_Y_A,PASSING_NY_A,PASSING_CMP_PCT,PASSING_RATE,RUSHING_ATT,RUSHING_YDS,RUSHING_Y_A,RUSHING_TD
198,198,6,CHI,NYJ,2018,8.0,10.0,14.0,29.0,150.0,1.0,0.0,1.0,5.3,5.0,48.3,75.4,24.0,57.0,2.4,0.0
199,199,7,CHI,BUF,2018,9.0,9.0,31.0,49.0,166.0,0.0,3.0,4.0,3.8,3.1,63.3,43.4,28.0,98.0,3.5,1.0
200,200,8,CHI,DET,2018,10.0,22.0,25.0,42.0,229.0,2.0,2.0,6.0,6.5,4.8,59.5,70.4,24.0,76.0,3.2,1.0
201,201,9,CHI,MIN,2018,11.0,20.0,30.0,46.0,246.0,2.0,2.0,2.0,5.7,5.1,65.2,75.1,14.0,22.0,1.6,0.0
202,202,10,CHI,DET,2018,12.0,16.0,28.0,38.0,222.0,0.0,2.0,2.0,6.2,5.6,73.7,65.9,24.0,111.0,4.6,2.0
203,203,11,CHI,NYG,2018,13.0,30.0,20.0,36.0,197.0,2.0,1.0,3.0,6.1,5.1,55.6,78.1,29.0,141.0,4.9,0.0
204,204,12,CHI,LAR,2018,14.0,6.0,21.0,45.0,162.0,0.0,4.0,3.0,4.2,3.4,46.7,18.9,13.0,52.0,4.0,0.0
205,205,13,CHI,GNB,2018,15.0,17.0,25.0,42.0,235.0,0.0,1.0,5.0,6.5,5.0,59.5,65.1,19.0,88.0,4.6,1.0
206,206,14,CHI,SFO,2018,16.0,9.0,22.0,38.0,232.0,0.0,1.0,1.0,6.3,5.9,57.9,64.8,15.0,47.0,3.1,0.0
207,207,15,CHI,MIN,2018,17.0,10.0,20.0,33.0,101.0,1.0,0.0,4.0,4.0,2.7,60.6,75.4,15.0,63.0,4.2,0.0
208,208,0,TEN,MIA,2018,1.0,27.0,20.0,28.0,222.0,2.0,2.0,1.0,8.2,7.7,71.4,88.7,29.0,120.0,4.1,0.0
209,209,1,TEN,HOU,2018,2.0,17.0,22.0,32.0,289.0,2.0,1.0,4.0,9.7,8.0,68.8,104.8,26.0,148.0,5.7,0.0
210,210,2,TEN,JAX,2018,3.0,6.0,21.0,34.0,145.0,0.0,0.0,3.0,4.6,3.9,61.8,71.3,19.0,87.0,4.6,0.0
211,211,3,TEN,PHI,2018,4.0,23.0,33.0,50.0,315.0,2.0,0.0,4.0,7.0,5.8,66.0,96.7,22.0,117.0,5.3,0.0
