,GAME_ORDER,YEAR,DATE,GAME_NUMBER,WEEK,PLAYER,AGE,TEAM,OPPONENT,RESULT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RUSHING_1D,RUSHING_YBC,RUSHING_YBC_ATT,RUSHING_YAC,RUSHING_YAC_ATT,RUSHING_BRKTKL,RUSHING_ATT_BR,RECEIVING_TGT,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD,RECEIVING_1D,RECEIVING_YBC,RECEIVING_YBC_R,RECEIVING_YAC,RECEIVING_YAC_R,RECEIVING_ADOT,RECEIVING_BRKTKL,RECEIVING_REC_BR,RECEIVING_DROP,RECEIVING_DROP_PCT,RECEIVING_INT,RECEIVING_RAT,PASSING_CMP,PASSING_ATT,PASSING_CMP_PCT,PASSING_YDS,PASSING_TD,PASSING_INT,PASSING_RATE,PASSING_SK,PASSING_YDS1,PASSING_Y_A,PASSING_AY_A
0,1,2018,2018-09-09,1,1,Saquon Barkley,21.212,NYG,JAX,L 15-20,18,106,1,3,19,1.1,87,4.8,4,4.5,6,2,22,0,1,-9,-4.5,31,15.5,-1.7,0,0,2,33.3,1,5.6,,,,,,,,,,,
1,2,2018,2018-09-16,2,2,Saquon Barkley,21.219,NYG,DAL,L 13-20,11,28,0,4,6,0.5,22,2.0,1,11.0,16,14,80,0,2,-16,-1.1,96,6.9,-1.3,4,3.5,0,0.0,0,87.5,,,,,,,,,,,
2,3,2018,2018-09-23,3,3,Saquon Barkley,21.226,NYG,HOU,W 27-22,17,82,1,4,38,2.2,44,2.6,3,5.7,5,5,35,0,1,-1,-0.2,36,7.2,-0.2,1,5.0,0,0.0,0,95.8,,,,,,,,,,,
3,4,2018,2018-09-30,4,4,Saquon Barkley,21.233,NYG,NOR,L 18-33,10,44,1,2,27,2.7,17,1.7,1,10.0,8,6,56,0,4,-11,-1.8,67,11.2,0.6,0,0,0,0.0,0,93.7,,,,,,,,,,,
4,5,2018,2018-10-07,5,5,Saquon Barkley,21.240,NYG,CAR,L 31-33,15,48,0,2,22,1.5,26,1.7,0,0,4,4,81,2,2,31,7.8,50,12.5,7.8,0,0,0,0.0,0,158.3,,,,,,,,,,,
5,6,2018,2018-10-11,6,6,Saquon Barkley,21.244,NYG,PHI,L 13-34,13,130,1,4,81,6.2,49,3.8,0,0,12,9,99,0,2,-17,-1.9,116,12.9,-0.7,3,3.0,0,0.0,0,99.0,,,,,,,,,,,
6,7,2018,2018-10-22,7,7,Saquon Barkley,21.255,NYG,ATL,L 20-23,14,43,1,4,13,0.9,30,2.1,2,7.0,10,9,51,0,2,-31,-3.4,82,9.1,-3.1,0,0,1,10.0,0,87.9,,,,,,,,,,,
7,8,2018,2018-10-28,8,8,Saquon Barkley,21.261,NYG,WAS,L 13-20,13,38,0,1,27,2.1,11,0.8,0,0,10,9,73,0,3,13,1.4,60,6.7,1.6,0,0,0,0.0,0,97.1,,,,,,,,,,,
8,9,2018,2018-11-12,9,10,Saquon Barkley,21.276,NYG,SFO,W 27-23,20,67,0,2,33,1.7,34,1.7,4,5.0,5,4,33,0,2,-7,-1.8,40,10.0,2.8,1,4.0,0,0.0,0,94.2,,,,,,,,,,,
9,10,2018,2018-11-18,10,11,Saquon Barkley,21.282,NYG,TAM,W 38-35,27,142,2,8,26,1.0,116,4.3,5,5.4,3,2,10,1,1,5,2.5,5,2.5,9.0,0,0,0,0.0,0,111.1,,,,,,,,,,,
10,11,2018,2018-11-25,11,12,Saquon Barkley,21.289,NYG,PHI,L 22-25,13,101,1,2,11,0.8,90,6.9,5,2.6,8,7,41,1,2,6,0.9,35,5.0,1.3,0,0,0,0.0,0,127.6,,,,,,,,,,,
11,12,2018,2018-12-02,12,13,Saquon Barkley,21.296,NYG,CHI,W 30-27,24,125,0,4,81,3.4,44,1.8,1,24.0,4,3,21,0,1,-1,-0.3,22,7.3,1.0,0,0,0,0.0,0,86.5,,,,,,,,,,,
12,13,2018,2018-12-09,13,14,Saquon Barkley,21.303,NYG,WAS,W 40-16,14,170,1,3,137,9.8,33,2.4,2,7.0,5,4,27,0,2,9,2.3,18,4.5,2.2,0,0,0,0.0,0,89.2,,,,,,,,,,,
13,14,2018,2018-12-16,14,15,Saquon Barkley,21.310,NYG,TEN,L 0-17,14,31,0,1,2,0.1,29,2.1,0,0,10,4,25,0,1,10,2.5,15,3.8,0.5,1,4.0,0,0.0,0,47.9,,,,,,,,,,,
14,15,2018,2018-12-23,15,16,Saquon Barkley,21.317,NYG,IND,L 27-28,21,43,1,1,35,1.7,8,0.4,1,21.0,7,5,34,0,2,-15,-3.0,49,9.8,-2.6,2,2.5,0,0.0,0,81.8,,,,,,,,,,,
15,16,2018,2018-12-30,16,17,Saquon Barkley,21.324,NYG,DAL,L 35-36,17,109,1,5,13,0.8,96,5.6,1,17.0,8,4,33,0,2,-13,-3.3,46,11.5,-2.0,1,4.0,1,12.5,0,60.9,,,,,,,,,,,
16,17,2019,2019-09-08,1,1,Saquon Barkley,22.211,NYG,DAL,L 17-35,11,120,0,6,78,7.1,42,3.8,4,2.8,6,4,19,0,0,3,0.8,16,4.0,0.2,0,0,0,0.0,0,70.8,,,,,,,,,,,
17,18,2019,2019-09-15,2,2,Saquon Barkley,22.218,NYG,BUF,L 14-28,18,107,1,5,56,3.1,51,2.8,0,0,7,3,28,0,1,-3,-1.0,31,10.3,-0.9,1,3.0,0,0.0,0,54.5,,,,,,,,,,,
18,19,2019,2019-09-22,3,3,Saquon Barkley,22.225,NYG,TAM,W 32-31,8,10,0,0,3,0.4,7,0.9,0,0,5,4,27,0,1,13,3.3,14,3.5,3.0,0,0,1,20.0,0,89.2,,,,,,,,,,,
19,20,2019,2019-10-20,7,7,Saquon Barkley,22.253,NYG,ARI,L 21-27,18,72,1,3,57,3.2,15,0.8,2,9.0,5,3,8,0,1,-10,-3.3,18,6.0,-0.8,1,3.0,1,20.0,0,64.6,,,,,,,,,,,
20,21,2019,2019-10-27,8,8,Saquon Barkley,22.260,NYG,DET,L 26-31,19,64,0,3,33,1.7,31,1.6,2,9.5,10,8,79,1,4,15,1.9,64,8.0,3.9,3,2.7,1,10.0,0,132.9,,,,,,,,,,,
21,22,2019,2019-11-04,9,9,Saquon Barkley,22.268,NYG,DAL,L 18-37,14,28,0,2,23,1.6,5,0.4,0,0,8,6,67,0,1,-16,-2.7,83,13.8,-1.3,0,0,0,0.0,0,99.5,,,,,,,,,,,
22,23,2019,2019-11-10,10,10,Saquon Barkley,22.274,NYG,NYJ,L 27-34,13,1,0,0,-17,-1.3,18,1.4,0,0,5,5,30,0,1,4,0.8,26,5.2,0.8,2,2.5,0,0.0,0,91.7,,,,,,,,,,,
23,24,2019,2019-11-24,11,12,Saquon Barkley,22.288,NYG,CHI,L 14-19,17,59,0,2,20,1.2,39,2.3,0,0,3,2,1,0,0,-9,-4.5,10,5.0,-2.0,0,0,1,33.3,0,70.1,,,,,,,,,,,
24,25,2019,2019-12-01,12,13,Saquon Barkley,22.295,NYG,GNB,L 13-31,19,83,0,3,28,1.5,55,2.9,2,9.5,7,3,32,0,1,-12,-4.0,44,14.7,0.0,0,0,0,0.0,0,56.8,,,,,,,,,,,
25,26,2019,2019-12-09,13,14,Saquon Barkley,22.303,NYG,PHI,L 17-23,17,66,0,5,43,2.5,23,1.4,3,5.7,4,3,1,0,0,-9,-3.0,10,3.3,-1.5,0,0,0,0.0,0,77.1,,,,,,,,,,,
26,27,2019,2019-12-15,14,15,Saquon Barkley,22.309,NYG,MIA,W 36-20,24,112,2,7,41,1.7,71,3.0,1,24.0,5,4,31,0,1,9,2.3,22,5.5,2.2,0,0,0,0.0,0,92.5,,,,,,,,,,,
27,28,2019,2019-12-22,15,16,Saquon Barkley,22.316,NYG,WAS,W 41-35,22,189,1,7,62,2.8,127,5.8,2,11.0,4,4,90,1,2,24,6.0,66,16.5,6.0,1,4.0,0,0.0,0,158.3,,,,,,,,,,,
28,29,2019,2019-12-29,16,17,Saquon Barkley,22.323,NYG,PHI,L 17-34,17,92,1,2,-3,-0.2,95,5.6,0,0,4,3,25,0,1,-9,-3.0,34,11.3,-0.3,0,0,0,0.0,0,90.6,,,,,,,,,,,
29,30,2020,2020-09-14,1,1,Saquon Barkley,23.218,NYG,PIT,L 16-26,15,6,0,0,-3,-0.2,9,0.6,0,0,9,6,60,0,3,5,0.8,55,9.2,3.8,1,6.0,1,11.1,0,85.4,,,,,,,,,,,
30,31,2020,2020-09-20,2,2,Saquon Barkley,23.224,NYG,CHI,L 13-17,4,28,0,1,2,0.5,26,6.5,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,
31,32,2021,2021-09-12,1,1,Saquon Barkley,24.215,NYG,DEN,L 13-27,10,26,0,1,12,1.2,14,1.4,0,0,3,1,1,0,0,-6,-6.0,7,7.0,1.7,0,0,1,33.3,0,42.4,,,,,,,,,,,
32,33,2021,2021-09-16,2,2,Saquon Barkley,24.219,NYG,WAS,L 29-30,13,57,0,1,23,1.8,34,2.6,1,13.0,3,2,12,0,0,4,2.0,8,4.0,0.0,0,0,1,33.3,0,74.3,,,,,,,,,,,
33,34,2021,2021-09-26,3,3,Saquon Barkley,24.229,NYG,ATL,L 14-17,16,51,1,4,27,1.7,24,1.5,1,16.0,7,6,43,0,2,-22,-3.7,65,10.8,-2.4,0,0,1,14.3,0,92.3,,,,,,,,,,,
34,35,2021,2021-10-03,4,4,Saquon Barkley,24.236,NYG,NOR,W 27-21,13,52,1,3,25,1.9,27,2.1,1,13.0,6,5,74,1,2,14,2.8,60,12.0,3.5,0,0,0,0.0,0,157.6,,,,,,,,,,,
35,36,2021,2021-10-10,5,5,Saquon Barkley,24.243,NYG,DAL,L 20-44,2,9,0,0,6,3.0,3,1.5,0,0,1,0,0,0,0,0,0,0,0,10.0,0,0,0,0.0,0,39.6,,,,,,,,,,,
36,37,2021,2021-11-22,10,11,Saquon Barkley,24.286,NYG,TAM,L 10-30,6,25,0,1,10,1.7,15,2.5,0,0,6,6,31,0,2,-4,-0.7,35,5.8,-0.7,1,6.0,0,0.0,0,88.2,,,,,,,,,,,
37,38,2021,2021-11-28,11,12,Saquon Barkley,24.292,NYG,PHI,W 13-7,13,40,0,1,29,2.2,11,0.8,0,0,5,4,13,0,0,-3,-0.8,16,4.0,-0.8,0,0,0,0.0,0,79.2,,,,,,,,,,,
38,39,2021,2021-12-05,12,13,Saquon Barkley,24.299,NYG,MIA,L 9-20,11,55,0,5,35,3.2,20,1.8,0,0,9,6,19,0,2,-5,-0.8,24,4.0,1.1,2,3.0,2,22.2,0,70.1,,,,,,,,,,,
39,40,2021,2021-12-12,13,14,Saquon Barkley,24.306,NYG,LAC,L 21-37,16,64,0,5,34,2.1,30,1.9,0,0,3,3,31,1,2,10,3.3,21,7.0,3.3,0,0,0,0.0,0,149.3,,,,,,,,,,,
40,41,2021,2021-12-19,14,15,Saquon Barkley,24.313,NYG,DAL,L 6-21,15,50,0,1,25,1.7,25,1.7,0,0,8,4,24,0,2,-17,-4.3,41,10.3,-1.6,1,4.0,1,12.5,0,56.2,,,,,,,,,,,
41,42,2021,2021-12-26,15,16,Saquon Barkley,24.320,NYG,PHI,L 10-34,15,32,0,1,9,0.6,23,1.5,1,15.0,1,1,-4,0,0,-7,-7.0,3,3.0,-7.0,0,0,0,0.0,0,79.2,,,,,,,,,,,
42,43,2021,2022-01-02,16,17,Saquon Barkley,24.327,NYG,CHI,L 3-29,21,102,0,4,63,3.0,39,1.9,0,0,1,0,0,0,0,0,0,0,0,-6.0,0,0,0,0.0,0,39.6,,,,,,,,,,,
43,44,2021,2022-01-09,17,18,Saquon Barkley,24.334,NYG,WAS,L 7-22,11,30,0,0,16,1.5,14,1.3,0,0,4,3,19,0,1,1,0.3,18,6.0,6.3,0,0,0,0.0,0,84.4,,,,,,,,,,,
44,45,2022,2022-09-11,1,1,Saquon Barkley,25.214,NYG,TEN,W 21-20,18,164,1,7,46,2.6,118,6.6,0,0,7,6,30,0,0,-12,-2.0,42,7.0,-0.6,0,0,0,0.0,1,44.9,,,,,,,,,,,
45,46,2022,2022-09-18,2,2,Saquon Barkley,25.221,NYG,CAR,W 19-16,21,72,0,3,36,1.7,36,1.7,0,0,4,3,16,0,0,9,3.0,7,2.3,2.5,0,0,0,0.0,0,81.2,,,,,,,,,,,
46,47,2022,2022-09-26,3,3,Saquon Barkley,25.229,NYG,DAL,L 16-23,14,81,1,2,26,1.9,55,3.9,1,14.0,4,4,45,0,0,-11,-2.8,56,14.0,-2.8,1,4.0,0,0.0,0,113.5,,,,,,,,,,,
47,48,2022,2022-10-02,4,4,Saquon Barkley,25.235,NYG,CHI,W 20-12,31,146,0,5,110,3.5,36,1.2,2,15.5,2,2,16,0,1,-8,-4.0,24,12.0,-4.0,0,0,0,0.0,0,100.0,,,,,,,,,,,
48,49,2022,2022-10-09,5,5,Saquon Barkley,25.242,NYG,GNB,W 27-22,13,70,1,2,59,4.5,11,0.8,0,0,6,3,36,0,1,-4,-1.3,40,13.3,3.5,0,0,1,16.7,0,68.7,,,,,,,,,,,
49,50,2022,2022-10-16,6,6,Saquon Barkley,25.249,NYG,BAL,W 24-20,22,83,1,4,38,1.7,45,2.0,1,22.0,3,3,12,0,0,9,3.0,3,1.0,3.0,0,0,0,0.0,0,83.3,,,,,,,,,,,
50,51,2022,2022-10-23,7,7,Saquon Barkley,25.256,NYG,JAX,W 23-17,24,110,0,5,54,2.3,56,2.3,1,24.0,4,4,25,0,1,0,0.0,25,6.3,0.0,1,4.0,0,0.0,0,92.7,,,,,,,,,,,
51,52,2022,2022-10-30,8,8,Saquon Barkley,25.263,NYG,SEA,L 13-27,20,53,1,4,29,1.5,24,1.2,2,10.0,5,3,9,0,1,-15,-5.0,24,8.0,2.2,0,0,1,20.0,0,64.6,,,,,,,,,,,
52,53,2022,2022-11-13,9,10,Saquon Barkley,25.277,NYG,HOU,W 24-16,35,152,1,7,111,3.2,41,1.2,0,0,1,1,8,0,0,-1,-1.0,9,9.0,-1.0,0,0,0,0.0,0,100.0,,,,,,,,,,,
53,54,2022,2022-11-20,10,11,Saquon Barkley,25.284,NYG,DET,L 18-31,15,22,0,0,10,0.7,12,0.8,0,0,5,2,13,0,0,5,2.5,8,4.0,1.8,0,0,1,20.0,0,47.9,,,,,,,,,,,
54,55,2022,2022-11-24,11,12,Saquon Barkley,25.288,NYG,DAL,L 20-28,11,39,1,3,31,2.8,8,0.7,0,0,6,4,13,0,0,-6,-1.5,19,4.8,0.5,0,0,1,16.7,0,70.1,,,,,,,,,,,
55,56,2022,2022-12-04,12,13,Saquon Barkley,25.298,NYG,WAS,T 20-20,18,63,1,4,43,2.4,20,1.1,0,0,5,5,18,0,1,-21,-4.2,39,7.8,-4.2,0,0,0,0.0,0,81.7,,,,,,,,,,,
56,57,2022,2022-12-11,13,14,Saquon Barkley,25.305,NYG,PHI,L 22-48,9,28,0,1,13,1.4,15,1.7,0,0,2,2,20,0,1,-2,-1.0,22,11.0,-1.0,1,2.0,0,0.0,0,108.3,,,,,,,,,,,
57,58,2022,2022-12-18,14,15,Saquon Barkley,25.312,NYG,WAS,W 20-12,18,87,1,9,43,2.4,44,2.4,3,6.0,8,5,33,0,2,-5,-1.0,38,7.6,-0.1,0,0,0,0.0,0,71.4,,,,,,,,,,,
58,59,2022,2022-12-24,15,16,Saquon Barkley,25.318,NYG,MIN,L 24-27,14,84,1,4,54,3.9,30,2.1,2,7.0,10,8,49,0,2,-26,-3.3,75,9.4,-1.9,0,0,1,10.0,0,87.1,,,,,,,,,,,
59,60,2022,2023-01-01,16,17,Saquon Barkley,25.326,NYG,IND,W 38-10,12,58,0,2,46,3.8,12,1.0,0,0,4,2,-5,0,0,-8,-4.0,3,1.5,-3.0,0,0,1,25.0,0,56.2,,,,,,,,,,,
60,61,2023,2023-09-10,1,1,Saquon Barkley,26.213,NYG,DAL,L 0-40,12,51,0,2,21,1.8,30,2.5,0,0,4,3,12,0,2,0,0.0,12,4.0,1.5,1,3.0,1,25.0,1,37.5,,,,,,,,,,,
61,62,2023,2023-09-17,2,2,Saquon Barkley,26.220,NYG,ARI,W 31-28,17,63,1,5,27,1.6,36,2.1,3,5.7,7,6,29,1,2,1,0.2,28,4.7,0.9,1,6.0,1,14.3,1,83.9,,,,,,,,,,,
62,63,2023,2023-10-15,6,6,Saquon Barkley,26.248,NYG,BUF,L 9-14,24,93,0,3,65,2.7,28,1.2,0,0,5,4,5,0,1,-9,-2.3,14,3.5,-0.6,0,0,0,0.0,0,79.2,,,,,,,,,,,
63,64,2023,2023-10-22,7,7,Saquon Barkley,26.255,NYG,WAS,W 14-7,21,77,0,3,52,2.5,25,1.2,1,21.0,4,3,41,1,2,3,1.0,38,12.7,1.5,0,0,0,0.0,0,146.9,,,,,,,,,,,
64,65,2023,2023-10-29,8,8,Saquon Barkley,26.262,NYG,NYJ,L 10-13,36,128,0,4,42,1.2,86,2.4,1,36.0,5,3,0,0,0,-12,-4.0,12,4.0,-3.6,0,0,0,0.0,0,64.6,,,,,,,,,,,
65,66,2023,2023-11-05,9,9,Saquon Barkley,26.269,NYG,LVR,L 6-30,16,90,0,4,55,3.4,35,2.2,0,0,4,3,23,0,2,-4,-1.3,27,9.0,0.5,0,0,0,0.0,0,88.5,,,,,,,,,,,
66,67,2023,2023-11-12,10,10,Saquon Barkley,26.276,NYG,DAL,L 17-49,13,66,0,5,50,3.8,16,1.2,0,0,3,1,-5,0,0,-7,-7.0,2,2.0,-1.7,0,0,0,0.0,0,42.4,,,,,,,,,,,
67,68,2023,2023-11-19,11,11,Saquon Barkley,26.283,NYG,WAS,W 31-19,14,83,0,3,38,2.7,45,3.2,1,14.0,5,4,57,2,3,52,13.0,5,1.3,10.0,0,0,0,0.0,0,153.7,,,,,,,,,,,
68,69,2023,2023-11-26,12,12,Saquon Barkley,26.290,NYG,NWE,W 10-7,12,46,0,2,33,2.8,13,1.1,0,0,3,1,6,0,0,-3,-3.0,9,9.0,-1.0,0,0,1,33.3,0,42.4,,,,,,,,,,,
69,70,2023,2023-12-11,13,14,Saquon Barkley,26.305,NYG,GNB,W 24-22,20,86,2,4,32,1.6,54,2.7,4,5.0,4,3,15,0,2,-4,-1.3,19,6.3,1.0,1,3.0,0,0.0,0,80.2,,,,,,,,,,,
70,71,2023,2023-12-17,14,15,Saquon Barkley,26.311,NYG,NOR,L 6-24,9,14,0,1,4,0.4,10,1.1,0,0,2,2,23,0,1,12,6.0,11,5.5,6.0,0,0,0,0.0,0,114.6,,,,,,,,,,,
71,72,2023,2023-12-25,15,16,Saquon Barkley,26.319,NYG,PHI,L 25-33,23,80,1,5,34,1.5,46,2.0,1,23.0,6,3,4,0,0,-3,-1.0,7,2.3,6.0,0,0,0,0.0,1,16.7,,,,,,,,,,,
72,73,2023,2023-12-31,16,17,Saquon Barkley,26.325,NYG,LAR,L 25-26,12,39,0,4,18,1.5,21,1.8,1,12.0,6,3,19,0,0,2,0.7,17,5.7,5.2,0,0,2,33.3,0,56.9,,,,,,,,,,,
73,74,2023,2024-01-07,17,18,Saquon Barkley,26.332,NYG,PHI,W 27-10,18,46,2,6,9,0.5,37,2.1,0,0,2,2,51,0,1,26,13.0,25,12.5,13.0,0,0,0,0.0,0,118.7,,,,,,,,,,,
74,75,2024,2024-09-06,1,1,Saquon Barkley,27.210,PHI,GNB,W 34-29,24,109,2,6,78,3.3,31,1.3,0,0,2,2,23,1,1,20,10.0,3,1.5,10.0,0,0,0,0.0,0,154.2,,,,,,,,,,,
75,76,2024,2024-09-16,2,2,Saquon Barkley,27.220,PHI,ATL,L 21-22,22,95,0,3,44,2.0,51,2.3,1,22.0,5,4,21,0,3,4,1.0,17,4.3,0.8,0,0,1,20.0,0,84.2,,,,,,,,,,,
76,77,2024,2024-09-22,3,3,Saquon Barkley,27.226,PHI,NOR,W 15-12,17,147,2,7,114,6.7,33,1.9,0,0,4,4,9,0,0,-8,-2.0,17,4.3,-2.0,0,0,0,0.0,0,79.2,,,,,,,,,,,
77,78,2024,2024-09-29,4,4,Saquon Barkley,27.233,PHI,TAM,L 16-33,10,84,0,2,75,7.5,9,0.9,0,0,4,2,32,0,1,5,2.5,27,13.5,7.8,1,2.0,0,0.0,0,77.1,,,,,,,,,,,
78,79,2024,2024-10-13,5,6,Saquon Barkley,27.247,PHI,CLE,W 20-16,18,47,0,1,20,1.1,27,1.5,1,18.0,2,2,7,0,0,-8,-4.0,15,7.5,-4.0,0,0,0,0.0,0,81.2,,,,,,,,,,,
79,80,2024,2024-10-20,6,7,Saquon Barkley,27.254,PHI,NYG,W 28-3,17,176,1,6,115,6.8,61,3.6,4,4.3,3,2,11,0,0,-6,-3.0,17,8.5,-5.0,1,2.0,0,0.0,0,72.9,,,,,,,,,,,
80,81,2024,2024-10-27,7,8,Saquon Barkley,27.261,PHI,CIN,W 37-17,22,108,0,5,55,2.5,53,2.4,0,0,1,1,3,0,0,3,3.0,0,0.0,3.0,0,0,0,0.0,0,79.2,,,,,,,,,,,
81,82,2024,2024-11-03,8,9,Saquon Barkley,27.268,PHI,JAX,W 28-23,27,159,1,5,105,3.9,54,2.0,1,27.0,4,3,40,1,3,25,8.3,15,5.0,7.3,2,1.5,1,25.0,0,145.8,,,,,,,,,,,
82,83,2024,2024-11-10,9,10,Saquon Barkley,27.275,PHI,DAL,W 34-6,14,66,0,4,45,3.2,21,1.5,0,0,1,1,12,0,1,-9,-9.0,21,21.0,-9.0,0,0,0,0.0,0,116.7,,,,,,,,,,,
83,84,2024,2024-11-14,10,11,Saquon Barkley,27.279,PHI,WAS,W 26-18,26,146,2,7,87,3.3,59,2.3,0,0,3,2,52,0,1,5,2.5,47,23.5,3.0,1,2.0,0,0.0,0,109.7,,,,,,,,,,,
84,85,2024,2024-11-24,11,12,Saquon Barkley,27.289,PHI,LAR,W 37-20,26,255,2,7,191,7.3,64,2.5,3,8.7,4,4,47,0,2,1,0.3,46,11.5,0.3,0,0,0,0.0,0,115.6,,,,,,,,,,,
85,86,2024,2024-12-01,12,13,Saquon Barkley,27.296,PHI,BAL,W 24-19,23,107,1,5,29,1.3,78,3.4,4,5.8,4,2,10,0,0,-5,-2.5,15,7.5,-1.3,0,0,0,0.0,0,56.2,,,,,,,,,,,
86,87,2024,2024-12-08,13,14,Saquon Barkley,27.303,PHI,CAR,W 22-16,20,124,0,6,85,4.3,39,2.0,1,20.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,39.6,,,,,,,,,,,
87,88,2024,2024-12-15,14,15,Saquon Barkley,27.310,PHI,PIT,W 27-13,19,65,0,4,36,1.9,29,1.5,2,9.5,2,2,9,0,0,5,2.5,4,2.0,2.5,1,2.0,0,0.0,0,85.4,,,,,,,,,,,
88,89,2024,2024-12-22,15,16,Saquon Barkley,27.317,PHI,WAS,L 33-36,29,150,2,5,122,4.2,28,1.0,1,29.0,1,0,0,0,0,0,0,0,0,23.0,0,0,0,0.0,0,39.6,,,,,,,,,,,
89,90,2024,2024-12-29,16,17,Saquon Barkley,27.324,PHI,DAL,W 41-7,31,167,0,9,127,4.1,40,1.3,1,31.0,2,2,2,0,0,1,0.5,1,0.5,0.5,0,0,0,0.0,0,79.2,,,,,,,,,,,
0,1,2018,2018-09-09,1,1,Derrick Henry,24.248,TEN,MIA,L 20-27,10,26,0,0,14,1.4,12,1.2,0,0,1,1,5,0,0,-4,-4.0,9,9.0,-4.0,0,0,0,0.0,0,87.5,0,0,0,0,0,0,0,0,0,0,0
1,2,2018,2018-09-16,2,2,Derrick Henry,24.255,TEN,HOU,W 20-17,18,56,0,4,12,0.7,44,2.4,3,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00
2,3,2018,2018-09-23,3,3,Derrick Henry,24.262,TEN,JAX,W 9-6,18,57,0,1,21,1.2,36,2.0,5,3.6,1,0,0,0,0,0,0,0,0,-2.0,0,0,0,0.0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
3,4,2018,2018-09-30,4,4,Derrick Henry,24.269,TEN,PHI,W 26-23,8,24,0,1,0,0.0,24,3.0,1,8.0,2,2,7,0,1,-12,-6.0,19,9.5,-6.0,0,0,0,0.0,0,81.2,0,0,0,0,0,0,0,0,0,0,0
4,5,2018,2018-10-07,5,5,Derrick Henry,24.276,TEN,BUF,L 12-13,11,56,0,3,18,1.6,38,3.5,1,11.0,1,0,0,0,0,0,0,0,0,4.0,0,0,0,0.0,0,39.6,0,0,0,0,0,0,0,0,0,0,0
5,6,2018,2018-10-14,6,6,Derrick Henry,24.283,TEN,BAL,L 0-21,7,21,0,0,5,0.7,16,2.3,0,0,1,1,5,0,0,3,3.0,2,2.0,3.0,0,0,0,0.0,0,87.5,0,0,0,0,0,0,0,0,0,0,0
6,7,2018,2018-10-21,7,7,Derrick Henry,24.290,TEN,LAC,L 19-20,12,33,1,2,27,2.3,6,0.5,2,6.0,2,2,32,0,2,5,2.5,27,13.5,2.5,1,2.0,0,0.0,0,118.7,0,0,0,0,0,0,0,0,0,0,0
7,8,2018,2018-11-05,8,9,Derrick Henry,24.305,TEN,DAL,W 28-14,6,27,1,2,10,1.7,17,2.8,1,6.0,2,2,5,0,0,-10,-5.0,15,7.5,-5.0,0,0,0,0.0,0,79.2,0,0,0,0,0,0,0,0,0,0,0
8,9,2018,2018-11-11,9,10,Derrick Henry,24.311,TEN,NWE,W 34-10,11,58,2,5,46,4.2,12,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,2018,2018-11-18,10,11,Derrick Henry,24.318,TEN,IND,L 10-38,9,46,0,1,4,0.4,42,4.7,4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,
10,11,2018,2018-11-26,11,12,Derrick Henry,24.326,TEN,HOU,L 17-34,8,30,0,1,14,1.8,16,2.0,2,4.0,3,2,19,0,0,-3,-1.5,22,11.0,-0.7,2,1.0,0,0.0,0,84.0,,,,,,,,,,,
11,12,2018,2018-12-02,12,13,Derrick Henry,24.332,TEN,NYJ,W 26-22,10,40,1,3,12,1.2,28,2.8,1,10.0,2,2,5,0,0,0,0.0,5,2.5,0.0,0,0,0,0.0,0,79.2,,,,,,,,,,,
12,13,2018,2018-12-06,13,14,Derrick Henry,24.336,TEN,JAX,W 30-9,17,238,4,8,111,6.5,127,7.5,11,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,
13,14,2018,2018-12-16,14,15,Derrick Henry,24.346,TEN,NYG,W 17-0,33,170,2,10,54,1.6,116,3.5,2,16.5,1,1,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,79.2,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00
14,15,2018,2018-12-22,15,16,Derrick Henry,24.352,TEN,WAS,W 25-16,21,84,1,5,60,2.9,24,1.1,0,0,1,1,8,0,0,-3,-3.0,11,11.0,-3.0,0,0,0,0.0,0,100.0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
15,16,2018,2018-12-30,16,17,Derrick Henry,24.360,TEN,IND,L 17-33,16,93,0,4,15,0.9,78,4.9,1,16.0,1,1,13,0,1,8,8.0,5,5.0,8.0,0,0,0,0.0,0,118.7,0,0,0,0,0,0,0,0,0,0,0
16,17,2019,2019-09-08,1,1,Derrick Henry,25.247,TEN,CLE,W 43-13,19,84,1,4,41,2.2,43,2.3,1,19.0,2,1,75,1,1,-5,-5.0,80,80.0,-3.5,0,0,0,0.0,0,135.4,0,0,0,0,0,0,0,0,0,0,0
