,PLAYER,TEAM,PPR_2023,PROJECTED POINTS,Position,Consensus,Target Round,VBD,My Ranking
86,Joe Mixon,CIN,265.0,294.3725879181869,RB,47,5,67.44336875533514,25
87,Jonathan Taylor,IND,156.4,268.59706995362393,RB,12,2,41.66785079077215,42
88,Jonnu Smith,ATL,126.2,89.17761401330837,TE,203,21,-95.35505188046291,139
89,Jordan Addison,MIN,221.3,195.81614921970606,WR,89,9,-14.709946226246842,83
90,Jordan Love,GNB,343.06,365.8673080511958,QB,78,8,28.256319536346155,52
91,Josh Allen,BUF,430.64,399.0884428432879,QB,29,3,61.477454328438284,26
92,Josh Downs,IND,157.1,137.61469042920285,WR,152,16,-72.91140501675005,128
93,Josh Jacobs,LVR,183.1,258.9050650019357,RB,39,4,31.975845839083945,48
94,Josh Reynolds,DET,130.8,106.67466133960073,WR,294,30,-103.85143410635217,142
95,Joshua Dobbs,ARI,138.56,300.5610586421858,QB,366,37,-37.049929872663824,103
96,Joshua Dobbs,MIN,75.78,300.5610586421858,QB,366,37,-37.049929872663824,103
97,Justice Hill,BAL,111.3,88.0713128045691,RB,234,24,-138.85790635828266,157
98,Justin Fields,CHI,256.18,339.0704568809439,QB,184,19,1.4594683660942565,66
99,Justin Herbert,LAC,248.16,373.90448978748213,QB,127,13,36.29350127263251,44
100,Justin Jefferson,MIN,204.2,317.57042036625546,WR,6,1,107.04432492030256,16
101,K.J. Osborn,MIN,120.0,131.15985811833178,WR,328,33,-79.36623732762112,131
102,Kareem Hunt,CLE,118.5,91.00103959277324,RB,317,32,-135.92817957007856,155
103,Keenan Allen,LAC,280.86,307.83814177568047,WR,61,7,97.31204632972756,20
104,Kenneth Gainwell,PHI,96.7,88.90993243846819,RB,251,26,-138.0192867243836,156
105,Kenny Pickett,PIT,118.2,87.76405032968587,QB,411,42,-249.84693818516376,164
106,Khalil Herbert,CHI,112.5,112.37292076115097,RB,170,18,-114.55629840170081,148
107,Khalil Shakir,BUF,113.1,230.41489959874437,WR,119,12,19.888804152791465,56
108,Kirk Cousins,MIN,167.74,319.60144822894534,QB,129,13,-18.00954028590428,87
109,Kyle Pitts,ATL,137.3,117.76768701671624,TE,59,6,-66.76497887705504,124
110,Kyler Murray,ARI,154.36,350.99455876273737,QB,72,8,13.383570247887747,58
111,Kyren Williams,LAR,257.0,418.311880571354,RB,17,2,191.3826614085022,3
112,Lamar Jackson,BAL,355.22,451.3876283755005,QB,41,5,113.7766398606509,14
113,Logan Thomas,WAS,128.79999999999998,130.91334327156778,TE,442,45,-53.6193226222035,114
114,Mac Jones,NWE,134.4,206.56568449668364,QB,407,41,-131.04530401816598,152
115,Mark Andrews,BAL,135.4,245.01504480526927,TE,46,5,60.48237891149799,28
116,Marquise Brown,ARI,134.70000000000002,157.3265294641433,WR,106,11,-53.1995659818096,112
117,Matthew Stafford,LAR,261.1,277.54153115298175,QB,136,14,-60.069457361867876,119
118,Michael Wilson,ARI,112.5,131.03109909116813,WR,162,17,-79.49499635478477,132
119,Mike Evans,TAM,282.5,320.87584115222984,WR,26,3,110.34974570627693,15
120,Najee Harris,PIT,197.5,221.49257339622986,RB,77,8,-5.436645766621922,77
121,Nick Mullens,MIN,70.9,169.38888583077437,QB,390,40,-168.22210268407525,159
122,Nico Collins,HOU,258.4,404.12940651878114,WR,23,3,193.60331107282823,2
123,Noah Brown,HOU,101.60000000000001,212.9452611025229,WR,323,33,2.4191656565699873,65
124,Puka Nacua,LAR,298.5,267.4620121530464,WR,11,2,56.93591670709347,32
125,Rachaad White,TAM,271.9,284.32385527493295,RB,44,5,57.39463611208117,31
126,Raheem Mostert,MIA,269.7,173.25898287127865,RB,80,9,-53.67023629157313,115
127,Rashee Rice,KAN,214.5,327.28441064291235,WR,66,7,116.75831519695944,12
128,Rashid Shaheed,NOR,151.6,147.53931752359438,WR,134,14,-62.98677792235853,120
129,Rhamondre Stevenson,NWE,147.7,220.10722081212074,RB,70,8,-6.821998350731036,79
130,Rico Dowdle,DAL,91.5,147.1975810247118,RB,138,14,-79.73163813813997,133
131,Romeo Doubs,GNB,174.4,137.0796771121057,WR,116,12,-73.44641833384719,129
132,Roschon Johnson,CHI,102.1,159.46235665667797,RB,190,20,-67.46686250617381,126
133,Russell Wilson,DEN,278.9,303.7975645892609,QB,199,20,-33.81342392558872,102
134,Ryan Tannehill,TEN,87.32000000000001,177.5167442950477,QB,416,42,-160.09424421980194,158
135,Sam Howell,WAS,299.54,123.09866085381599,QB,346,35,-214.51232766103362,161
136,Sam LaPorta,DET,235.3,228.58123320358425,TE,30,4,44.04856730981297,40
137,Samaje Perine,DEN,125.3,118.02838729017263,RB,292,30,-108.90083187267915,144
138,Saquon Barkley,NYG,225.20000000000002,237.25649773768006,RB,14,2,10.327278574828284,60
139,Stefon Diggs,BUF,273.8,253.32742597385052,WR,38,4,42.80133052789762,41
140,T.J. Hockenson,MIN,221.0,215.45307460915745,TE,123,13,30.920408715386174,49
141,Tank Dell,HOU,165.0,113.49332526310741,WR,52,6,-97.0327701828455,140
142,Taylor Heinicke,ATL,63.0,221.5169753902518,QB,386,39,-116.09401312459784,149
143,Taysom Hill,NOR,140.96,145.0593072086728,TE,161,17,-39.473358685098475,105
144,Tee Higgins,CIN,137.6,209.83445635650895,WR,55,6,-0.691639089443953,72
145,Terry McLaurin,WAS,203.20000000000002,220.45134194557053,WR,62,7,9.925246499617629,61
146,Tony Pollard,DAL,222.6,206.58368978426213,RB,85,9,-20.345529378589646,90
147,Travis Kelce,KAN,221.4,291.05321025380255,TE,27,3,106.52054436003127,18
148,Trevor Lawrence,JAX,302.54,337.6109885148496,QB,121,13,0.0,67
149,Trey McBride,ARI,181.5,214.6093608889544,TE,45,5,30.076694995183118,51
150,Tua Tagovailoa,MIA,308.36,291.41099954897055,QB,112,12,-46.19998896587907,111
151,Tutu Atwell,LAR,108.39999999999999,100.71439223242338,WR,308,31,-109.81170321352953,145
152,Ty Chandler,MIN,101.0,182.39908817681348,RB,141,15,-44.5301309860383,109
153,Tyjae Spears,TEN,153.8,198.03054707403925,RB,102,11,-28.898672088812532,98
154,Tyler Allgeier,ATL,135.6,197.95654286271446,RB,145,15,-28.972676300137323,99
155,Tyler Boyd,CIN,146.8,138.90891043056104,WR,215,22,-71.61718501539187,127
156,Tyler Lockett,SEA,198.4,261.62659622868193,WR,122,13,51.10050078272903,36
157,Tyreek Hill,MIA,378.40000000000003,340.17864720892845,WR,3,1,129.65255176297555,9
158,Tyrod Taylor,NYG,79.82,91.15819034077677,QB,441,45,-246.45279817407285,163
159,Wan'Dale Robinson,NYG,133.2,152.5595476440658,WR,181,19,-57.96654780188712,116
160,Zach Charbonnet,SEA,106.1,162.92673493810045,RB,128,13,-64.00248422475133,121
161,Zach Wilson,NYJ,134.34,204.06899559228683,QB,419,42,-133.5419929225628,154
162,Zack Moss,IND,167.6,142.68108190762865,RB,93,10,-84.24813725522313,134
163,Zay Flowers,BAL,204.4,210.5260954459529,WR,53,6,0.0,67
